Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,ticker,name,sector,industry
-,-,-1.76,13.50%,641.01M,6.12%,115.64B,-,-1.84,0.00%,101.58M,14.69%,-1048.40M,-,-9.18,16.20%,7.83%,-,3.63B,31.89,-,18.93%,0.67,-,-,-,86.20%,-,155.24,-,7.01,25.72,-,-,121.50 - 187.42,22.89%,-,-,-,95.80%,-3.75%,-,-,1.60,-,52.50%,48.48%,15.02,5465,1.60,-18.40%,-22.80%,-,10.95% 8.88%,Yes,-,-17.70%,-28.90%,1.52,161.83,Yes,-,-,-,11.80M,180.40,2.50,15.32%,18.51%,18.51%,"17,618,432",11.47%,ABNB,"Airbnb, Inc.",Communication Services,Internet Content & Information
S&P 500,60.08,1.88,0.20%,1.77B,0.71%,197.92B,25.82,4.37,-6.81%,1.76B,3.65%,3.35B,4.53,1.35,75.70%,0.56%,4.24%,32.22B,6.14,45.20%,0.03%,2.04,12.74%,17.69,6.38,23.56%,5.00%,121.76,22.96%,2.70,41.84,13.28%,11.00%,61.61 - 115.14,3.16%,1.80,94.25,12.40%,8.20%,-1.90%,0.76,1.59%,1.20,9.50%,56.80%,83.33%,2.32,107000,1.70,9.60%,13.50%,61.04,2.10% 2.08%,Yes,0.59,28.10%,10.50%,1.03,112.89,Yes,0.58,Jan 27 BMO,73.30%,4.88M,112.95,1.90,2.80%,3.20%,11.61%,"5,028,068",0.05%,ABT,Abbott Laboratories,Healthcare,Medical Devices
-,12.31,2.79,2.93%,402.85M,-3.48%,14.17B,12.11,2.84,0.00%,394.15M,-0.17%,1.15B,2.18,0.52,90.00%,1.07%,13.58%,7.80B,1.82,124.20%,0.39%,1.83,11.81%,28.97,1.19,115.40%,2.90%,40.90,-24.43%,2.37,14.51,5.66%,10.40%,20.93 - 48.32,-4.71%,-,5.06,14.10%,13.10%,-28.87%,0.81,-,-,11.20%,-,64.21%,1.00,4300,-,31.20%,17.90%,45.43,2.95% 2.61%,Yes,0.26,8.00%,14.70%,1.05,34.59,Yes,0.26,Feb 09 AMC,0.00%,2.30M,34.37,2.20,-2.80%,-0.51%,11.92%,"2,409,472",-0.64%,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified
S&P 500,31.61,8.16,0.10%,634.27M,0.33%,171.44B,28.44,9.07,-15.16%,633.18M,-3.12%,5.25B,3.18,1.89,74.40%,0.69%,11.96%,44.73B,3.83,7.30%,-0.11%,2.26,15.03%,28.23,9.14,10.26%,14.60%,280.28,23.17%,13.06,19.76,9.93%,31.60%,137.15 - 271.18,-1.25%,3.52,27.00,10.60%,28.90%,-4.88%,1.12,1.36%,1.50,6.10%,31.80%,88.07%,4.95,506000,1.50,3.50%,14.80%,52.54,1.56% 1.63%,Yes,0.00,11.00%,11.70%,0.79,261.67,Yes,0.00,Dec 17 BMO,39.70%,1.93M,257.94,2.20,-0.34%,2.47%,15.78%,"1,625,568",-1.43%,ACN,Accenture plc,Technology,Information Technology Services
S&P 500,43.53,10.84,0.10%,480.00M,-0.01%,229.00B,35.68,13.23,-17.32%,477.59M,-6.15%,5.26B,2.61,2.79,86.20%,0.94%,-4.56%,12.87B,17.80,7.80%,-0.03%,1.69,6.06%,24.40,19.35,17.91%,17.20%,565.20,34.84%,10.85,43.50,16.67%,33.90%,255.13 - 536.88,-5.62%,-,51.64,62.70%,20.60%,-12.08%,0.96,-,1.40,21.90%,86.60%,85.01%,10.93,22634,1.40,13.80%,29.30%,46.40,2.27% 2.09%,Yes,0.35,22.00%,28.80%,1.04,469.73,Yes,0.35,Dec 09 AMC,0.00%,2.67M,472.02,1.80,-2.31%,-1.50%,6.31%,"2,771,772",0.49%,ADBE,Adobe Inc.,Technology,Software - Infrastructure
S&P 500,48.53,3.28,0.32%,369.28M,0.51%,59.49B,24.92,6.39,-11.20%,368.31M,10.19%,1.22B,4.23,1.32,94.60%,7.67%,28.85%,5.60B,10.62,-10.00%,0.06%,10.88,39.88%,32.49,4.90,12.00%,5.70%,160.97,32.28%,2.83,56.34,11.47%,10.40%,79.07 - 162.98,7.83%,2.48,62.19,8.30%,8.20%,-2.26%,1.32,1.56%,1.40,10.30%,65.90%,101.44%,3.32,15900,1.80,5.80%,26.70%,70.36,1.85% 2.12%,Yes,0.43,39.50%,21.80%,0.94,159.83,Yes,0.43,Nov 24 BMO,72.50%,2.60M,159.29,1.80,5.26%,10.60%,29.97%,"2,469,486",-0.34%,ADI,"Analog Devices, Inc.",Technology,Semiconductors
S&P 500,18.19,2.90,0.30%,561.00M,1.97%,29.75B,14.52,3.64,-19.18%,554.23M,6.26%,1.64B,4.04,1.10,82.20%,0.93%,3.77%,62.71B,0.47,-19.90%,-0.07%,1.98,28.26%,34.44,1.53,5.42%,3.50%,55.33,17.49%,-,-,4.50%,8.30%,28.92 - 53.99,4.72%,1.44,-,-6.00%,4.20%,-2.22%,0.86,2.73%,1.00,-4.50%,6.80%,82.54%,1.15,38100,1.60,-9.60%,1.80%,59.23,2.02% 2.05%,Yes,0.42,-43.90%,2.50%,0.69,53.50,Yes,0.41,Oct 29 AMC,50.50%,2.60M,52.79,1.80,3.32%,5.07%,19.41%,"1,812,543",-1.33%,ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products
S&P 500,28.02,5.75,0.10%,428.60M,-2.20%,69.39B,25.56,6.30,-43.43%,427.71M,-10.16%,2.48B,2.53,1.29,82.20%,1.05%,9.83%,14.56B,4.76,8.50%,0.00%,2.55,9.04%,13.55,11.88,11.96%,5.70%,168.22,-9.70%,-,-,11.07%,44.40%,103.11 - 182.32,-8.61%,3.72,49.65,14.50%,30.80%,-11.68%,0.72,2.31%,1.10,5.90%,42.20%,56.17%,3.20,58000,1.10,-0.70%,21.60%,33.06,1.55% 1.86%,Yes,0.34,4.70%,17.10%,1.07,162.35,Yes,0.34,Jan 27 BMO,60.90%,1.76M,161.03,3.00,-5.33%,-6.45%,6.97%,"1,867,263",-0.81%,ADP,"Automatic Data Processing, Inc.",Industrials,Staffing & Employment Services
S&P 500,155.64,1.97,0.10%,219.60M,-2.50%,67.95B,59.28,5.17,-4.90%,218.59M,0.48%,438.30M,4.46,1.07,93.50%,0.96%,19.09%,3.65B,18.62,327.80%,0.08%,1.53,27.30%,0.32,957.69,30.99%,7.30%,299.68,57.38%,7.29,42.06,34.91%,-,125.38 - 321.13,0.37%,-,48.67,23.40%,14.00%,-4.57%,1.34,-,0.80,5.40%,91.00%,144.42%,7.28,10100,0.80,13.00%,15.80%,55.07,2.08% 2.36%,Yes,23.62,97.80%,11.70%,1.48,308.58,Yes,23.62,Nov 24 AMC,0.00%,1.37M,306.46,2.00,-0.12%,7.58%,28.30%,"2,004,285",-0.69%,ADSK,"Autodesk, Inc.",Technology,Software - Application
S&P 500,20.97,3.42,0.60%,247.10M,-4.98%,17.64B,18.97,3.78,-0.68%,246.05M,-9.03%,850.00M,5.99,0.42,76.70%,2.29%,-12.66%,5.78B,3.05,1.10%,-0.01%,3.63,-10.56%,34.35,2.09,9.40%,2.90%,87.27,-10.22%,0.02,2939.91,3.50%,10.30%,58.74 - 87.65,-8.10%,2.06,13.82,6.90%,6.10%,-18.16%,0.23,2.87%,0.50,-0.50%,86.60%,22.13%,1.53,9323,0.80,-1.90%,21.90%,32.63,2.15% 1.95%,Yes,1.27,0.10%,14.70%,1.30,72.54,Yes,1.20,Nov 05 AMC,43.10%,1.55M,71.74,2.10,-5.00%,-7.83%,-6.85%,"2,416,856",-1.10%,AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric
-,26.85,2.64,0.20%,242.06M,1.13%,17.50B,18.56,3.82,0.00%,241.79M,-0.95%,638.10M,0.42,0.75,78.10%,0.76%,-11.15%,2.96B,5.91,242.10%,4.41%,1.52,1.30%,22.66,3.13,95.95%,6.90%,94.80,16.85%,1.30,54.42,64.08%,12.20%,31.00 - 89.23,0.54%,1.40,107.28,36.30%,7.90%,-20.55%,0.72,1.97%,1.00,5.60%,51.90%,128.68%,2.27,6193,2.40,43.60%,34.70%,49.01,2.41% 2.83%,Yes,0.31,186.00%,21.50%,0.85,71.31,Yes,0.30,Feb 11 AMC,29.20%,1.21M,70.89,2.10,-0.90%,0.01%,0.32%,"1,032,940",-0.59%,AEM,Agnico Eagle Mines Limited,Basic Materials,Gold
S&P 500,20.95,3.86,0.01%,496.18M,3.61%,39.37B,17.41,4.65,-3.65%,495.87M,-2.79%,1.92B,3.46,0.76,76.80%,1.60%,-10.71%,14.92B,2.64,0.10%,-0.03%,2.57,-9.31%,41.19,1.97,7.39%,2.50%,94.34,-19.03%,1.27,63.64,6.05%,9.60%,65.14 - 104.97,-2.76%,2.96,16.61,3.60%,5.30%,-22.86%,0.25,3.66%,0.30,-1.00%,79.90%,24.31%,1.77,17408,0.50,-5.80%,18.20%,48.24,2.61% 2.08%,Yes,1.59,1.60%,12.90%,1.05,80.75,Yes,1.38,Oct 22 BMO,72.30%,3.09M,80.97,2.40,0.43%,-3.04%,-3.05%,"3,227,390",0.27%,AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric
S&P 500,-,-0.53,0.20%,665.00M,1.49%,18.05B,17.50,1.56,0.00%,663.18M,21.03%,-353.00M,-,0.42,-,1.91%,36.40%,9.53B,1.89,-70.60%,9.56%,2.23,74.87%,3.01,9.06,12.08%,-1.00%,25.25,33.73%,2.86,9.55,7.80%,-14.00%,8.11 - 28.67,16.09%,0.60,91.61,-14.20%,6.60%,-4.86%,0.87,2.20%,0.90,-8.80%,24.60%,236.37%,0.74,21000,1.00,-3.00%,10.60%,72.97,2.72% 2.91%,Yes,10.65,-259.00%,-3.70%,1.25,28.02,Yes,9.73,Nov 06 BMO,-,5.69M,27.28,1.90,9.79%,20.68%,55.86%,"7,106,885",-2.64%,AES,The AES Corporation,Utilities,Utilities - Diversified
S&P 500,7.24,6.40,0.10%,711.70M,0.50%,32.81B,9.52,4.87,-9.32%,640.84M,5.54%,4.61B,1.18,1.05,61.70%,0.99%,25.49%,21.85B,1.50,16.70%,0.01%,1.60,26.35%,45.64,1.01,-1.40%,3.00%,44.91,-11.82%,7.85,5.90,6.12%,15.70%,23.07 - 53.39,4.16%,1.32,6.53,6.40%,10.00%,-13.24%,0.98,2.85%,-,-0.40%,-,100.78%,0.97,10977,-,2.00%,19.40%,59.65,1.57% 2.03%,Yes,0.24,229.40%,21.10%,0.72,47.06,Yes,0.24,Feb 03 AMC,17.30%,3.95M,46.32,3.00,3.52%,4.79%,20.70%,"2,926,467",-1.57%,AFL,Aflac Incorporated,Financial,Insurance - Life
-,-,0.00,-,238.47M,12.06%,25.99B,-,-,-,24.60M,-,0.00M,-,-,-,-,-,595.60M,43.63,6.50%,-,-,-,-,-,-,-,-,-,2.87,37.97,-,-,90.01 - 137.98,12.06%,-,-,-,-20.60%,-21.02%,-,-,-,-,-,21.06%,16.33,916,-,98.00%,-20.00%,-,15.67% -,No,-,0.00%,0.00%,0.14,106.21,No,-,-,-,10.74M,108.97,-,-0.28%,-0.28%,-0.28%,"1,735,307",2.60%,AFRM,"Affirm Holdings, Inc.",Technology,Information Technology Services
-,22.24,2.06,81.68%,309.49M,0.04%,13.97B,20.66,2.22,0.00%,56.70M,1.80%,638.00M,5.56,0.58,15.00%,4.51%,-15.21%,6.26B,2.23,9.30%,0.48%,3.83,-4.99%,49.19,0.93,12.47%,1.80%,46.80,-10.66%,0.33,138.28,4.00%,4.20%,35.62 - 57.24,0.86%,1.76,-,10.50%,3.70%,-19.92%,0.22,3.84%,0.40,6.60%,77.50%,28.69%,1.12,6597,0.50,-1.10%,13.80%,49.87,2.50% 2.32%,Yes,0.58,-42.00%,10.20%,0.86,46.14,Yes,0.47,Oct 20 AMC,85.40%,668.56K,45.84,3.50,0.91%,-1.61%,-1.96%,"597,262",-0.65%,AGR,"Avangrid, Inc.",Utilities,Utilities - Regulated Electric
-,-,-0.57,6.30%,98.96M,-9.17%,12.87B,-,-0.87,0.00%,57.50M,-5.51%,-55.00M,-,-0.16,35.30%,7.01%,-,164.70M,78.12,-108.10%,-,0.60,-,-0.81,-,-89.10%,-,147.22,-,2.93,44.30,-,-,90.03 - 183.90,-6.30%,-,-,-,38.80%,-29.30%,-,-,3.00,-,75.10%,44.41%,14.73,482,3.00,6.20%,-35.50%,54.38,7.77% 10.24%,Yes,-,48.20%,-33.40%,0.24,131.38,Yes,-,-,-,6.67M,130.01,2.70,-7.40%,-2.22%,-2.22%,"1,624,000",-1.04%,AI,"C3.ai, Inc.",Technology,Information Technology Services
S&P 500,-,-5.88,0.10%,867.71M,0.81%,35.32B,9.42,4.36,-3.24%,860.85M,9.53%,-5044.00M,-,0.91,92.30%,1.27%,33.93%,45.91B,0.77,-45.80%,-0.02%,1.97,27.52%,73.32,0.56,74.70%,-0.90%,41.40,-21.45%,3.71,11.07,1.99%,-8.00%,16.07 - 56.42,8.43%,1.28,38.23,-6.80%,5.50%,-27.24%,1.37,3.12%,-,-5.00%,-,155.44%,0.99,46000,-,-21.00%,-9.20%,59.56,2.10% 2.31%,Yes,0.00,-56.30%,-10.90%,0.99,42.08,Yes,0.60,Nov 05 AMC,-,5.57M,41.05,2.50,4.70%,5.61%,29.25%,"5,608,281",-2.45%,AIG,"American International Group, Inc.",Financial,Insurance - Diversified
S&P 500,31.13,3.83,0.30%,191.90M,0.98%,22.88B,25.23,4.72,-26.74%,190.35M,-4.97%,742.00M,2.79,0.78,85.70%,0.78%,10.76%,7.02B,3.26,2.00%,-0.57%,1.72,14.02%,30.08,3.96,1.94%,3.70%,133.00,23.70%,3.28,36.33,11.18%,14.50%,65.09 - 129.12,-3.73%,1.80,17.80,12.30%,9.20%,-7.77%,0.67,1.51%,1.10,9.20%,35.40%,82.96%,2.41,33300,1.10,1.30%,14.70%,49.12,1.76% 1.92%,Yes,0.79,23.20%,11.00%,0.78,119.47,Yes,0.74,Jan 28 AMC,43.10%,863.21K,119.09,2.20,-1.33%,0.40%,15.05%,"678,976",-0.32%,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers
S&P 500,32.21,3.41,2.12%,162.76M,8.13%,17.29B,20.12,5.46,-0.67%,159.35M,2.68%,562.80M,3.09,1.31,93.60%,6.44%,0.59%,3.12B,5.54,63.00%,0.25%,6.02,-3.39%,25.24,4.36,5.16%,7.80%,126.86,15.03%,9.18,11.98,10.44%,14.70%,75.18 - 120.00,4.72%,-,16.03,9.50%,9.00%,-8.38%,0.40,-,3.10,8.10%,65.20%,46.25%,2.34,7724,3.10,11.70%,21.10%,65.26,2.79% 2.11%,Yes,0.00,13.70%,18.00%,0.93,109.36,Yes,0.46,Oct 27 AMC,0.00%,1.70M,109.95,2.00,4.53%,6.09%,4.18%,"1,569,785",0.54%,AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure
S&P 500,49.28,3.58,0.20%,106.39M,-1.95%,19.01B,43.02,4.10,-67.49%,106.12M,27.01%,381.50M,3.29,1.06,89.80%,3.76%,88.55%,3.24B,5.86,-18.30%,-0.07%,2.83,101.17%,38.77,4.55,2.60%,3.80%,119.00,116.77%,6.51,27.08,15.00%,9.60%,48.89 - 188.35,19.58%,1.54,-,14.40%,7.60%,-6.34%,1.60,0.87%,0.90,8.00%,33.00%,260.83%,6.91,6000,1.40,-15.10%,14.90%,62.69,3.76% 3.97%,Yes,0.86,-36.90%,11.80%,0.94,180.19,Yes,0.71,Nov 04 AMC,41.90%,1.41M,176.41,3.00,6.69%,21.43%,80.80%,"1,321,666",-2.10%,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals
-,-,-1.47,0.01%,489.20M,5.04%,35.86B,38.38,1.91,0.00%,489.13M,11.79%,-,-,0.41,54.55%,1.26%,20.54%,6.81B,5.27,-45.50%,-,6.58,19.42%,38.14,1.92,85.40%,-,68.33,17.26%,-,-,8.86%,-,39.37 - 73.74,11.11%,-,-,-,-,-0.58%,-,-,-,-,-,86.21%,1.43,20000,-,-1.60%,-,74.23,1.64% 1.55%,Yes,-,-,-,0.99,73.46,Yes,-,Nov 10 AMC,-,933.03K,73.31,2.70,8.78%,12.07%,22.06%,"925,166",-0.20%,ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies
S&P 500,24.73,21.99,0.40%,78.82M,-1.33%,41.93B,64.02,8.49,-51.10%,72.59M,2.62%,1.74B,1.30,2.13,89.50%,1.87%,62.53%,2.29B,18.33,12.40%,0.22%,2.04,71.03%,38.48,14.13,78.93%,46.60%,513.86,94.70%,7.98,68.12,19.01%,69.00%,127.88 - 579.50,1.76%,-,118.24,25.50%,32.00%,-6.16%,1.71,-,1.20,25.90%,71.00%,325.25%,17.56,14530,1.30,20.90%,14.20%,53.43,3.92% 3.18%,Yes,0.00,37.10%,76.00%,0.60,564.37,Yes,0.00,Feb 03 AMC,0.00%,663.21K,543.81,2.10,0.11%,6.76%,58.36%,"402,807",-3.64%,ALGN,"Align Technology, Inc.",Healthcare,Medical Devices
S&P 500,7.76,14.26,0.43%,311.20M,1.69%,33.87B,8.30,13.33,0.00%,302.76M,3.09%,4.57B,1.22,3.67,80.50%,1.23%,21.56%,44.25B,0.77,149.80%,-0.14%,2.02,18.39%,81.28,1.36,5.77%,3.80%,124.00,-5.89%,1.21,91.54,6.36%,19.00%,64.13 - 125.92,0.72%,2.16,7.75,17.50%,16.00%,-12.07%,0.82,1.95%,-,4.70%,-,72.65%,1.74,45780,-,3.70%,13.30%,63.88,1.46% 1.64%,Yes,0.26,34.30%,10.30%,0.60,111.00,Yes,0.26,Feb 03 AMC,14.40%,1.84M,110.72,2.20,2.02%,6.02%,13.53%,"1,605,157",-0.25%,ALL,The Allstate Corporation,Financial,Insurance - Property & Casualty
S&P 500,35.45,3.25,0.10%,92.30M,-1.68%,10.76B,24.34,4.73,-12.16%,91.71M,1.13%,301.70M,31.46,1.18,99.00%,3.25%,9.25%,2.71B,3.97,-1.30%,1.78%,4.18,3.08%,8.93,12.88,-1.60%,10.40%,116.00,-11.13%,4.59,25.09,1.13%,42.00%,77.37 - 139.24,-1.15%,1.28,32.09,17.30%,21.10%,-17.38%,1.11,1.11%,1.70,6.10%,43.60%,48.69%,2.49,11000,2.30,-2.70%,14.70%,49.97,1.83% 2.10%,Yes,1.73,13.20%,11.10%,1.30,114.19,Yes,1.73,Oct 22 BMO,37.70%,712.28K,115.04,2.90,-0.57%,0.86%,10.53%,"928,140",0.74%,ALLE,Allegion plc,Industrials,Security & Protection Services
