OverallQual,ExterQual,KitchenQual,GarageCars,GrLivArea,BsmtQual,GarageArea,1stFlrSF,fe_Age,GarageFinish,FireplaceQu,FullBath,Foundation_PConc,TotRmsAbvGrd,HeatingQC,Neighborhood_NridgHt,MasVnrType_None,GarageType_Detchd,GarageType_Attchd,MSSubClass_60,Foundation_CBlock,BsmtFinType1,Exterior1st_VinylSd,Exterior2nd_VinylSd,MasVnrType_Stone,LotShape,MSZoning_RM,Neighborhood_NoRidge,MasVnrType_BrkFace,Neighborhood_StoneBr,SalePrice
6,3,3,1.0,1142.0,5,384.0,1142.0,62,3,5,1,0,5,2,0,0,0,0,0,1,2,0,0,0,3,0,0,1,0,113500
5,3,3,1.0,1475.0,4,336.0,925.0,43,3,4,2,1,6,5,0,1,0,1,0,0,6,0,0,0,4,1,0,0,0,127000
6,3,3,2.0,1844.0,5,546.0,1844.0,43,3,4,2,0,7,5,0,0,0,1,0,1,5,0,0,0,3,0,0,1,0,190000
7,3,3,2.0,1242.0,4,528.0,1242.0,47,2,4,1,0,6,2,0,0,0,1,0,1,6,0,0,0,4,0,0,1,0,175500
5,3,3,1.0,990.0,5,384.0,990.0,26,2,1,1,1,5,5,0,1,1,0,0,0,7,1,1,0,2,0,0,0,0,146000
5,4,3,1.0,1256.0,4,276.0,1256.0,55,4,1,1,0,6,4,0,1,0,1,0,1,5,0,0,0,4,0,0,0,0,147500
10,5,5,3.0,2076.0,6,850.0,2076.0,14,4,5,2,1,7,5,1,1,0,1,0,0,7,1,1,0,4,0,0,0,0,465000
5,3,4,2.0,1110.0,5,602.0,1110.0,42,4,4,1,1,4,5,0,0,0,1,0,0,7,0,0,0,3,0,0,1,0,165500
5,3,3,1.0,1795.0,4,352.0,1050.0,66,2,1,2,0,7,5,0,0,0,1,0,0,2,0,0,0,4,1,0,1,0,131500
5,3,3,1.0,1040.0,4,384.0,1040.0,55,2,1,1,0,5,5,0,1,1,0,0,1,4,0,0,0,4,0,0,0,0,129500
8,3,3,2.0,1873.0,4,786.0,983.0,85,4,5,1,1,9,3,0,0,1,0,0,0,3,0,0,1,3,0,0,0,0,257076
5,3,3,2.0,1604.0,4,660.0,984.0,79,2,1,2,0,6,5,0,1,1,0,0,1,3,0,0,0,4,0,0,0,0,117000
7,3,3,1.0,1502.0,5,270.0,851.0,89,3,5,1,0,6,3,0,1,0,1,0,0,2,0,0,0,4,0,0,0,0,149000
5,3,3,1.0,1063.0,4,280.0,1063.0,66,3,1,1,0,6,3,0,0,0,1,0,1,4,0,0,1,4,0,0,0,0,128000
7,4,4,2.0,1626.0,5,474.0,764.0,17,3,1,2,1,6,5,1,0,0,0,0,0,2,1,0,1,4,0,0,0,0,155000
6,4,4,2.0,1524.0,5,440.0,768.0,20,2,1,2,1,4,5,0,0,1,0,0,0,7,0,0,0,4,0,0,1,0,166000
4,3,4,2.0,1981.0,4,576.0,1328.0,92,2,4,2,0,7,3,0,1,1,0,0,0,5,0,0,0,4,0,0,0,0,135000
7,3,4,2.0,1499.2985365853656,5,564.0,1392.0,42,3,4,3,0,12,3,0,0,0,1,1,1,5,0,0,0,3,0,0,1,0,250000
4,3,3,0.0,1092.0,4,465.10199881023215,546.0,50,1,1,1,0,5,5,0,1,0,0,0,1,7,0,0,0,4,1,0,0,0,76000
6,3,4,2.0,1575.0,4,400.0,1575.0,69,2,5,1,0,5,3,0,0,0,1,0,1,2,0,0,0,4,0,0,1,0,155000
6,3,3,1.0,1352.0,4,299.0,663.0,51,4,1,1,0,7,3,0,0,0,1,1,1,6,0,0,1,4,0,0,0,0,158000
7,4,4,2.0,1200.0,5,480.0,600.0,16,3,1,2,1,4,5,0,1,1,0,0,0,7,0,0,0,4,0,0,0,0,149500
5,3,3,1.0,936.0,4,240.0,936.0,66,2,1,1,0,5,3,0,1,0,1,0,1,5,0,0,0,4,0,0,0,0,121000
6,3,3,1.0,1040.0,4,293.0,1040.0,67,4,1,1,0,6,3,0,1,0,1,0,1,4,0,0,0,4,0,0,0,0,136000
6,3,3,2.0,1636.0,5,386.0,916.0,24,4,4,2,1,7,4,0,1,0,1,1,0,4,0,0,0,2,0,0,0,0,173000
8,4,4,3.0,2270.0,5,671.0,1164.0,21,4,5,2,1,9,5,0,0,0,1,1,0,7,1,1,0,3,0,1,1,0,290000
8,4,5,2.0,2610.0,5,550.0,1184.0,13,4,5,2,1,11,5,0,1,0,0,1,0,7,0,0,0,4,0,0,0,0,303477
7,4,3,2.0,1483.0,5,690.0,1483.0,43,3,4,1,0,4,4,0,1,0,1,0,1,6,0,0,0,3,0,0,0,0,270000
5,2,5,1.0,1740.0,4,225.0,960.0,100,2,5,1,0,6,4,0,1,1,0,0,0,4,0,0,0,4,1,0,0,0,122250
5,3,4,1.0,1382.0,4,350.0,1382.0,65,2,1,1,0,6,4,0,1,0,1,0,1,4,0,0,0,4,0,0,0,0,153000
5,3,3,0.0,1120.0,5,465.10199881023215,1120.0,13,1,1,1,1,6,5,0,1,0,0,0,0,6,1,1,0,4,0,0,0,0,147000
7,3,3,1.0,1098.0,5,216.0,567.0,90,2,5,1,0,5,3,0,1,1,0,0,0,7,0,0,0,4,0,0,0,0,148500
7,4,4,2.0,1708.0,5,380.0,976.0,16,2,1,2,1,7,5,0,0,1,0,0,0,2,1,1,1,4,1,0,0,0,130000
9,5,5,3.0,1802.0,6,843.0,1802.0,14,4,5,2,1,7,5,1,0,0,1,0,0,2,0,0,1,3,0,0,0,0,372000
7,4,4,2.0,1506.0,5,440.0,1506.0,15,4,5,2,1,6,5,0,0,0,1,0,0,7,1,1,0,4,0,0,1,0,213490
7,4,4,2.0,1508.0,5,572.0,1508.0,11,3,4,1,1,5,5,0,0,0,1,0,0,7,1,1,1,2,0,0,0,0,308030
7,4,4,3.0,2032.0,6,786.0,2032.0,24,4,1,3,1,7,5,0,0,0,1,0,0,7,0,0,0,2,0,0,1,0,300000
6,3,3,2.0,1194.0,4,539.0,1194.0,61,4,3,1,0,6,5,0,1,0,0,0,1,6,0,0,0,4,0,0,0,0,159500
7,4,4,2.0,1709.0,5,380.0,970.0,16,2,1,2,1,7,5,0,0,1,0,0,0,2,1,1,1,4,1,0,0,0,137500
7,4,4,3.0,1616.0,5,834.0,1616.0,15,3,1,2,1,7,5,0,0,0,1,0,0,2,1,1,0,4,0,0,1,0,232000
6,4,3,2.0,768.0,4,440.0,768.0,90,2,1,1,0,4,3,0,1,1,0,0,0,2,0,0,0,3,1,0,0,0,93850
5,3,2,1.0,872.0,4,322.0,872.0,96,2,5,1,0,5,2,0,0,1,0,0,0,2,0,0,1,4,0,0,0,0,105000
4,3,2,1.0,520.0,4,240.0,520.0,93,2,1,1,0,4,2,0,1,1,0,0,0,2,0,0,0,3,1,0,0,0,68500
5,3,3,2.0,2274.0,4,480.0,1105.0,60,2,1,2,0,12,3,0,0,1,0,0,1,4,0,0,0,4,0,0,1,0,154300
5,4,3,0.0,1601.0,4,465.10199881023215,936.0,95,1,1,2,0,6,5,0,1,0,0,0,0,2,1,1,0,4,1,0,0,0,129850
5,3,3,2.0,1232.0,4,480.0,616.0,110,2,1,1,0,6,5,0,1,1,0,0,0,5,0,0,0,4,1,0,0,0,114000
9,5,5,3.0,2234.0,6,473.4268292682927,1164.2931707317073,12,4,5,2,1,9,5,0,0,0,1,0,0,7,1,1,1,3,0,0,0,1,501837
5,3,3,3.0,1416.0,4,720.0,876.0,105,2,5,1,0,7,4,0,1,1,0,0,0,2,0,0,0,3,1,0,0,0,153900
4,3,3,2.0,864.0,4,576.0,864.0,49,2,1,1,0,5,4,0,1,1,0,0,1,6,1,1,0,4,0,0,0,0,130000
6,3,3,2.0,1189.0,6,392.0,1189.0,23,3,1,2,1,4,5,0,0,0,1,0,0,7,1,1,0,4,1,0,1,0,160500
9,5,4,2.0,1666.0,6,575.0,1666.0,14,3,5,2,1,6,5,1,0,0,1,0,0,7,0,0,0,4,0,0,1,0,310090
7,4,4,2.0,1200.0,5,555.0,1200.0,17,3,1,2,1,5,5,0,1,0,1,0,0,7,1,1,0,4,0,0,0,0,184900
5,3,3,1.0,928.0,5,252.0,928.0,64,2,1,1,0,4,3,0,1,0,1,0,1,4,0,0,0,4,0,0,0,0,132000
5,3,3,2.0,1336.0,5,502.0,1336.0,51,3,3,2,0,6,3,0,0,0,1,0,1,6,0,0,0,4,0,0,1,0,163000
7,4,4,2.0,1200.0,5,480.0,600.0,16,3,1,2,1,4,5,0,0,1,0,0,0,7,0,0,0,4,0,0,1,0,155000
6,3,3,2.0,1427.0,4,516.0,1427.0,51,3,1,2,0,7,4,0,1,0,1,0,1,7,0,0,0,3,0,0,0,0,183000
7,4,4,2.0,1992.0,5,608.0,1212.0,24,3,4,2,1,7,5,0,0,0,1,1,0,7,1,1,0,1,0,0,1,0,211000
7,4,4,2.0,1540.0,5,495.0,754.0,26,3,1,2,1,6,5,0,1,0,1,1,0,3,1,1,0,4,0,0,0,0,184000
5,3,3,2.0,1535.0,1,400.0,1535.0,41,2,1,2,0,8,3,0,1,0,1,0,0,1,0,0,0,4,0,0,0,0,118858
5,3,3,2.0,1152.0,4,484.0,1152.0,56,3,5,1,1,6,3,0,0,0,1,0,0,7,0,0,0,3,0,0,1,0,180500
8,4,4,2.0,1151.0,5,484.0,1151.0,14,4,1,2,1,5,5,0,0,0,1,0,0,7,1,1,1,3,0,0,0,0,166000
6,3,3,2.0,1138.0,4,480.0,1138.0,60,3,4,1,0,6,5,0,0,0,1,0,1,5,0,0,0,4,0,0,1,0,148000
5,3,4,2.0,1074.0,4,396.0,1074.0,64,2,5,1,0,6,4,0,1,1,0,0,1,4,0,0,0,3,0,0,0,0,124000
9,5,5,2.0,1561.0,6,556.0,1561.0,15,4,5,2,1,6,5,1,0,0,1,0,0,7,0,0,0,4,0,0,1,0,277500
8,4,4,3.0,1499.2985365853656,5,725.0,1358.0,25,3,6,2,1,9,5,0,0,0,1,1,0,6,1,1,0,3,0,1,1,0,350000
9,5,5,3.0,1884.0,6,670.0,1884.0,16,4,5,2,1,7,5,0,0,0,1,0,0,7,1,1,0,3,0,0,1,1,387000
4,3,3,0.0,605.0,4,465.10199881023215,605.0,100,1,1,1,0,5,5,0,1,0,0,0,0,6,0,0,0,3,0,0,0,0,86000
8,5,5,2.0,1671.0,5,550.0,1671.0,44,3,5,3,0,6,5,0,1,0,1,0,1,7,1,1,0,4,0,0,0,0,290000
3,3,3,0.0,797.0,3,465.10199881023215,797.0,120,1,1,1,0,5,3,0,1,0,0,0,1,2,0,0,0,4,0,0,0,0,44000
6,3,4,2.0,1961.0,6,560.0,804.0,19,4,4,2,1,7,5,0,1,0,0,1,0,6,1,1,0,3,0,0,0,0,215000
5,3,3,2.0,1193.0,5,501.0,1193.0,48,4,1,2,0,6,5,0,0,0,1,0,1,7,0,0,0,3,0,0,1,0,146500
7,4,4,2.0,1382.0,5,490.0,673.0,20,2,1,2,1,6,5,0,1,1,0,0,0,7,0,0,0,4,0,0,0,0,165000
6,3,4,1.0,2526.0,4,216.0,1664.0,104,2,5,2,0,10,3,0,1,1,0,0,0,4,0,0,0,4,1,0,0,0,136000
6,3,5,2.0,1390.0,5,550.0,1390.0,63,2,5,1,0,4,5,0,0,0,1,0,1,6,0,0,1,3,0,0,0,0,252000
7,4,4,2.0,1626.0,5,474.0,764.0,17,3,1,2,1,6,5,1,0,0,0,0,0,2,1,0,1,4,0,0,0,0,175500
5,3,3,2.0,1558.0,4,400.0,868.0,81,2,5,1,0,7,3,0,1,1,0,0,0,6,0,0,0,4,1,0,0,0,150000
5,3,3,1.0,1422.0,4,286.0,1422.0,60,3,4,1,0,6,3,0,1,0,1,0,1,2,0,0,0,3,0,0,0,0,139900
5,3,3,2.0,1573.0,4,360.0,1128.0,90,2,5,2,1,8,3,0,1,1,0,0,0,2,0,0,0,4,1,0,0,0,162900
6,3,3,2.0,1116.0,4,440.0,1116.0,58,2,1,1,0,5,3,0,0,0,1,0,1,2,0,0,0,3,0,0,1,0,160000
2,3,2,0.0,660.0,1,465.10199881023215,660.0,73,1,1,1,0,5,2,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,63900
6,3,3,2.0,1707.0,4,479.0,1707.0,42,4,4,2,1,7,4,0,0,0,1,0,0,6,0,0,0,4,0,0,1,0,184000
5,3,2,2.0,1466.0,4,528.0,1466.0,61,4,5,1,0,6,3,0,0,0,1,0,1,5,0,0,0,4,0,0,1,0,149900
9,4,5,2.0,1638.0,5,495.0,1638.0,20,4,4,2,1,5,5,0,0,0,1,0,0,7,0,0,0,3,0,0,1,0,300000
5,3,3,2.0,1721.0,4,626.0,1721.0,60,2,4,2,0,7,4,0,0,0,0,0,1,4,0,0,1,4,0,0,0,0,145000
6,3,4,2.0,1764.0,5,470.0,928.0,23,3,1,2,1,7,5,0,1,0,1,1,0,7,1,1,0,3,0,0,0,0,231500
5,3,3,0.0,996.0,4,465.10199881023215,996.0,80,1,5,1,0,6,5,0,1,0,0,0,1,5,0,0,0,4,0,0,0,0,108000
5,3,3,1.0,1202.0,4,304.0,1202.0,64,3,1,1,0,6,3,0,1,0,1,0,1,4,0,0,0,4,0,0,0,0,120000
5,3,3,2.0,988.0,4,572.0,988.0,59,2,1,1,0,5,3,0,0,1,0,0,1,4,0,0,0,3,0,0,1,0,128500
5,3,3,2.0,1028.0,4,360.0,1028.0,93,2,5,1,0,5,4,0,1,1,0,0,1,2,0,0,0,4,1,0,0,0,115000
5,3,3,1.0,1284.0,4,240.0,720.0,73,2,1,1,0,5,3,0,1,1,0,0,1,3,0,0,0,4,1,0,0,0,110000
9,4,4,3.0,1499.2985365853656,5,864.0,1599.0,43,3,5,2,0,9,3,0,0,0,1,1,1,7,0,0,0,3,0,0,1,0,150000
8,4,4,2.0,1414.0,6,403.0,707.0,16,4,5,2,1,6,5,0,1,0,1,1,0,2,1,1,0,3,0,0,0,0,178000
7,3,4,3.0,1609.0,4,579.0,959.0,88,2,5,1,0,8,5,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,199500
6,3,3,2.0,1525.0,4,400.0,813.0,23,4,4,2,1,6,5,0,1,0,1,1,0,7,1,1,0,3,0,0,0,0,183500
5,2,3,1.0,1656.0,5,288.0,1092.0,53,2,2,1,0,7,5,0,1,0,1,0,1,4,0,0,0,4,1,0,0,0,126000
7,3,3,2.0,1055.0,5,440.0,1055.0,43,2,1,2,0,4,2,0,1,0,1,0,1,6,0,0,0,4,0,0,0,0,148500
5,3,4,2.0,1352.0,4,720.0,676.0,81,2,1,2,0,7,5,0,1,1,0,1,0,2,1,1,0,4,0,0,0,0,149000
6,3,3,2.0,1456.0,5,440.0,855.0,43,2,4,2,0,6,3,0,1,0,1,0,1,6,0,0,0,4,0,0,0,0,137900
8,4,4,2.0,1719.0,5,473.0,1719.0,27,4,5,1,1,6,5,0,1,0,1,0,0,7,0,0,0,3,0,0,0,0,324000
5,3,3,0.0,864.0,4,465.10199881023215,864.0,95,1,1,1,0,5,3,0,1,0,0,0,1,4,0,0,0,4,0,0,0,0,98000
6,3,3,1.0,987.0,4,264.0,483.0,47,2,1,1,0,5,3,0,0,1,0,0,1,3,0,0,0,4,1,0,1,0,103400
5,3,3,0.0,1020.0,4,465.10199881023215,780.0,145,1,1,1,0,6,4,0,1,0,0,0,1,2,1,1,0,4,0,0,0,0,94000
8,4,4,2.0,1554.0,5,627.0,1554.0,14,3,5,2,1,6,5,1,0,0,1,0,0,7,1,1,1,4,0,0,0,0,209500
10,5,5,3.0,1499.2985365853656,6,758.0,1528.0,14,4,6,3,1,10,5,0,0,0,0,1,0,2,0,0,0,3,0,0,1,1,545224
6,4,4,0.0,1560.0,4,465.10199881023215,780.0,108,1,1,1,1,7,5,0,1,0,0,0,0,2,0,0,0,4,1,0,0,0,159900
4,3,3,2.0,864.0,4,400.0,864.0,69,2,1,1,0,4,5,0,1,1,0,0,1,3,1,1,0,4,0,0,0,0,141000
6,3,3,2.0,1889.0,5,431.0,1008.0,20,4,4,2,1,9,5,0,1,0,1,1,0,6,1,1,0,3,0,0,0,0,215000
5,3,3,1.0,1040.0,4,260.0,1040.0,58,2,1,1,0,6,5,0,1,1,0,0,1,6,0,0,0,3,0,0,0,0,127000
5,3,3,1.0,1172.0,4,366.0,1172.0,66,4,1,1,0,5,3,0,1,0,1,0,1,5,0,0,0,4,0,0,0,0,128000
8,4,4,3.0,1418.0,6,852.0,1418.0,10,3,5,1,1,6,5,0,1,0,1,0,0,7,0,0,0,3,0,0,0,0,267916
6,3,3,1.0,1367.0,4,560.0,959.0,89,2,5,1,0,6,3,0,1,1,0,0,0,3,0,0,0,4,1,0,0,0,127500
7,4,4,2.0,1922.0,1,672.0,495.0,17,3,6,3,0,7,5,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,198500
6,3,4,2.0,1422.0,5,576.0,1422.0,39,4,4,2,0,7,3,0,0,0,1,0,1,7,0,0,0,3,0,0,1,0,175500
7,4,4,2.0,1842.0,5,486.0,985.0,20,4,4,2,1,7,5,0,0,0,1,1,0,7,1,1,0,4,0,0,1,0,217500
4,3,3,2.0,1962.0,4,572.0,888.0,105,2,4,1,0,9,5,0,1,1,0,0,1,2,0,0,0,4,1,0,0,0,149500
5,4,3,2.0,1120.0,4,656.0,1120.0,54,3,4,1,1,5,5,0,0,0,1,0,0,5,0,0,0,4,0,0,1,0,148800
9,4,5,3.0,1499.2985365853656,6,716.0,1992.0,15,4,5,3,1,11,5,0,0,0,0,1,0,7,0,0,1,3,0,0,0,1,556581
6,3,3,2.0,1478.0,4,442.0,1478.0,63,3,5,1,0,6,4,0,1,0,1,0,1,6,0,0,0,4,0,0,0,0,156500
7,4,4,2.0,1995.0,5,610.0,950.0,25,3,4,2,1,8,5,0,1,0,1,1,0,7,1,1,0,4,0,0,0,0,237000
5,3,3,1.0,912.0,4,297.0,912.0,62,4,1,1,0,5,2,0,1,0,1,0,1,5,0,0,0,3,0,0,0,0,120000
6,3,4,2.0,1326.0,5,388.0,1326.0,15,4,1,2,1,6,5,0,1,0,1,0,0,7,1,1,0,3,0,0,0,0,203000
8,3,3,2.0,1204.0,5,461.0,1204.0,33,3,1,2,0,5,3,0,1,0,1,0,1,2,0,0,0,3,0,0,0,1,130000
6,3,3,2.0,1611.0,4,442.0,798.0,56,3,1,1,0,7,3,0,0,0,1,1,1,7,0,0,0,4,0,0,1,0,167900
4,3,3,2.0,960.0,4,576.0,960.0,50,2,1,1,0,6,3,0,0,1,0,0,1,6,0,0,0,4,0,0,1,0,129000
5,3,4,1.0,1236.0,4,447.0,1236.0,63,2,3,1,0,6,3,0,0,0,1,0,1,5,0,0,0,3,0,0,1,0,134450
5,3,4,2.0,1416.0,4,576.0,1416.0,102,2,1,2,0,7,5,0,1,0,1,0,0,2,0,0,0,4,0,0,0,0,112000
7,4,4,2.0,1873.0,5,619.0,946.0,32,3,4,2,1,7,5,0,0,0,1,1,0,7,0,0,0,3,0,0,1,0,207000
5,3,3,0.0,2128.0,4,465.10199881023215,1088.0,98,1,1,2,0,11,3,0,1,0,0,0,0,2,0,0,0,4,1,0,0,0,62500
7,4,4,2.0,1626.0,5,474.0,764.0,17,3,1,2,1,6,5,1,0,0,0,0,0,7,1,0,1,4,0,0,0,0,154000
5,3,3,1.0,816.0,4,308.0,816.0,63,2,1,1,0,5,3,0,1,1,0,0,1,7,0,0,0,3,0,0,0,0,129900
5,3,3,1.0,1112.0,5,336.0,536.0,44,2,1,1,0,4,3,0,1,0,1,0,1,4,0,0,0,4,1,0,0,0,85000
7,3,3,1.0,1111.0,4,288.0,572.0,94,2,5,1,1,5,3,0,1,1,0,0,0,2,0,0,0,4,1,0,0,0,116900
6,3,3,2.0,1441.0,4,440.0,855.0,42,2,4,2,0,7,3,0,1,0,1,0,1,6,0,0,0,4,0,0,0,0,148500
4,3,2,1.0,924.0,5,280.0,672.0,79,2,1,1,0,5,2,0,1,1,0,0,0,5,0,0,0,4,0,0,0,0,80000
5,3,3,2.0,1126.0,5,506.0,1126.0,36,2,1,1,1,5,3,0,1,0,1,0,0,3,1,1,0,3,0,0,0,0,152000
5,3,3,1.0,992.0,3,319.0,992.0,66,2,1,1,0,6,5,0,1,1,0,0,1,2,1,1,0,4,0,0,0,0,155891
6,3,4,2.0,1376.0,4,576.0,752.0,100,2,1,1,1,7,5,0,1,1,0,0,0,2,0,0,0,4,0,0,0,0,165000
7,4,4,2.0,1218.0,5,676.0,1218.0,11,3,1,2,1,4,5,0,1,0,1,0,0,2,1,1,0,4,0,0,0,0,204500
5,3,4,1.0,1644.0,4,312.0,888.0,78,2,5,1,0,7,5,0,0,0,1,0,1,3,0,0,1,4,0,0,0,0,146500
7,3,3,2.0,1601.0,5,478.0,1601.0,42,3,4,2,0,7,3,0,0,0,1,0,1,6,0,0,0,3,0,0,1,0,157000
7,3,3,2.0,2495.0,4,342.0,1313.0,130,2,5,2,0,10,4,0,1,1,0,0,0,2,0,0,0,4,1,0,0,0,184000
6,4,4,2.0,1509.0,5,393.0,807.0,18,4,5,2,1,7,5,0,1,0,1,1,0,7,1,1,0,3,0,0,0,0,183200
5,3,3,1.0,1092.0,4,288.0,1092.0,58,2,2,1,0,6,3,0,0,0,1,0,1,3,0,0,0,4,0,0,1,0,139000
7,4,4,3.0,2418.0,5,473.4268292682927,1325.0,27,3,4,2,1,9,5,0,0,0,1,1,0,7,0,0,0,4,0,1,1,0,341000
6,3,3,1.0,987.0,4,264.0,483.0,49,2,1,1,0,5,3,0,0,1,0,0,1,4,0,0,0,4,1,0,1,0,96000
4,3,3,2.0,1121.0,5,440.0,1121.0,17,3,1,2,1,5,5,0,1,0,1,0,0,2,1,1,0,4,1,0,0,0,140000
6,3,3,2.0,1236.0,4,923.0,1236.0,63,2,1,1,0,6,3,0,1,0,1,0,1,7,0,0,0,4,1,0,0,0,149700
5,3,3,2.0,1074.0,5,495.0,1074.0,45,3,1,1,0,6,5,0,1,0,1,0,1,6,0,0,0,4,0,0,0,0,153500
1,2,2,2.0,733.0,1,487.0,733.0,68,2,1,1,0,4,1,0,1,0,1,0,0,1,0,1,0,4,0,0,0,0,13100
