MSSubClass,MSZoning,Neighborhood,HouseStyle,Exterior1st,Exterior2nd,MasVnrType,GarageType,Foundation,LotShape,OverallQual,OverallCond,ExterQual,BsmtQual,BsmtFinType1,HeatingQC,KitchenQual,FireplaceQu,GarageFinish,GarageCars,GrLivArea,GarageArea,1stFlrSF,YearBuilt,YearRemod/Add,FullBath,TotRmsAbvGrd,SalePrice
160,RM,MeadowV,2Story,CemntBd,CmentBd,None,Attchd,PConc,4,5,6,3,4,6,5,3,4,3,1.0,1475.0,336.0,925.0,1977,1977,2,6,127000
20,RL,NWAmes,1Story,Plywood,Plywood,BrkFace,Attchd,CBlock,3,6,6,3,5,5,5,3,4,3,2.0,1844.0,546.0,1844.0,1977,1977,2,7,190000
20,RL,NWAmes,1Story,HdBoard,HdBoard,BrkFace,Attchd,CBlock,4,7,6,3,4,6,2,3,4,2,2.0,1242.0,528.0,1242.0,1973,1973,1,6,175500
20,RL,CollgCr,1Story,VinylSd,VinylSd,None,Detchd,PConc,2,5,7,3,5,7,5,3,1,2,1.0,990.0,384.0,990.0,1994,1994,1,5,146000
20,RL,Edwards,1Story,HdBoard,HdBoard,None,Attchd,CBlock,4,5,6,4,4,5,4,3,1,4,1.0,1256.0,276.0,1256.0,1965,1965,1,6,147500
20,RL,NridgHt,1Story,VinylSd,VinylSd,None,Attchd,PConc,4,10,5,5,6,7,5,5,5,4,3.0,2076.0,850.0,2076.0,2006,2006,2,7,465000
85,RL,Mitchel,SFoyer,Plywood,Plywood,BrkFace,Attchd,PConc,3,5,6,3,5,7,5,4,4,4,2.0,1110.0,602.0,1110.0,1978,1978,1,4,165500
50,RM,OldTown,1.5Fin,MetalSd,MetalSd,BrkFace,Attchd,BrkTil,4,5,5,3,4,2,5,3,1,2,1.0,1795.0,352.0,1050.0,1954,1954,2,7,131500
20,RL,Sawyer,1Story,HdBoard,HdBoard,None,Detchd,CBlock,4,5,5,3,4,4,5,3,1,2,1.0,1040.0,384.0,1040.0,1965,1965,1,5,129500
70,RL,Crawfor,2Story,BrkFace,Stucco,Stone,Detchd,PConc,3,8,6,3,4,3,3,3,5,4,2.0,1873.0,786.0,983.0,1935,1950,1,9,257076
50,RL,Edwards,1.5Fin,Wd Sdng,Wd Sdng,None,Detchd,CBlock,4,5,5,3,4,3,5,3,1,2,2.0,1604.0,660.0,984.0,1941,1960,2,6,117000
70,RL,Crawfor,2Story,Stucco,Wd Shng,None,Attchd,BrkTil,4,7,6,3,5,2,3,3,5,3,1.0,1502.0,270.0,851.0,1931,2000,1,6,149000
20,RL,NAmes,1Story,HdBoard,HdBoard,Stone,Attchd,CBlock,4,5,5,3,4,4,3,3,1,3,1.0,1063.0,280.0,1063.0,1954,1954,1,6,128000
160,RL,NridgHt,2Story,VinylSd,Wd Shng,Stone,BuiltIn,PConc,4,7,5,4,5,2,5,4,1,3,2.0,1626.0,474.0,764.0,2003,2004,2,6,155000
160,FV,Somerst,2Story,MetalSd,MetalSd,BrkFace,Detchd,PConc,4,6,5,4,5,7,5,4,1,2,2.0,1524.0,440.0,768.0,2000,2000,2,4,166000
50,RL,SWISU,1.5Fin,WdShing,Plywood,None,Detchd,BrkTil,4,4,3,3,4,5,3,4,4,2,2.0,1981.0,576.0,1328.0,1928,1950,2,7,135000
60,RL,NWAmes,2Story,Plywood,Plywood,BrkFace,Attchd,CBlock,3,7,5,3,5,5,3,4,4,3,2.0,1499.2985365853658,564.0,1392.0,1978,1978,3,12,250000
160,RM,MeadowV,2Story,CemntBd,CmentBd,None,None,CBlock,4,4,7,3,4,7,5,3,1,1,0.0,1092.0,465.10199881023215,546.0,1970,1970,1,5,76000
20,RL,NAmes,1Story,Wd Sdng,Wd Sdng,BrkFace,Attchd,CBlock,4,6,6,3,4,2,3,4,5,2,2.0,1575.0,400.0,1575.0,1951,1951,1,5,155000
60,RL,Sawyer,2Story,HdBoard,HdBoard,Stone,Attchd,CBlock,4,6,7,3,4,6,3,3,1,4,1.0,1352.0,299.0,663.0,1969,1969,1,7,158000
160,FV,Somerst,2Story,MetalSd,MetalSd,None,Detchd,PConc,4,7,5,4,5,7,5,4,1,3,2.0,1200.0,480.0,600.0,2004,2005,2,4,149500
20,RL,NAmes,1Story,MetalSd,MetalSd,None,Attchd,CBlock,4,5,6,3,4,5,3,3,1,2,1.0,936.0,240.0,936.0,1954,1975,1,5,121000
20,RL,NAmes,1Story,Wd Sdng,Wd Sdng,None,Attchd,CBlock,4,6,7,3,4,4,3,3,1,4,1.0,1040.0,293.0,1040.0,1953,1953,1,6,136000
60,RL,Gilbert,2Story,HdBoard,HdBoard,None,Attchd,PConc,2,6,5,3,5,4,4,3,4,4,2.0,1636.0,386.0,916.0,1996,1996,2,7,173000
60,RL,NoRidge,2Story,VinylSd,VinylSd,BrkFace,Attchd,PConc,3,8,7,4,5,7,5,4,5,4,3.0,2270.0,671.0,1164.0,1999,2007,2,9,290000
60,FV,Somerst,2Story,CemntBd,CmentBd,None,BuiltIn,PConc,4,8,5,4,5,7,5,5,5,4,2.0,2610.0,550.0,1184.0,2007,2007,2,11,303477
20,RL,ClearCr,1Story,Wd Sdng,Wd Sdng,None,Attchd,CBlock,3,7,7,4,5,6,4,3,4,3,2.0,1483.0,690.0,1483.0,1977,2001,1,4,270000
50,RM,OldTown,1.5Fin,WdShing,Wd Shng,None,Detchd,BrkTil,4,5,5,2,4,4,4,5,5,2,1.0,1740.0,225.0,960.0,1920,1950,1,6,122250
20,RL,NAmes,1Story,AsbShng,AsbShng,None,Attchd,CBlock,4,5,5,3,4,4,4,4,1,2,1.0,1382.0,350.0,1382.0,1955,1955,1,6,153000
20,RL,Mitchel,1Story,VinylSd,VinylSd,None,None,PConc,4,5,5,3,5,6,5,3,1,1,0.0,1120.0,465.10199881023215,1120.0,2007,2007,1,6,147000
70,RL,Crawfor,2Story,Wd Sdng,Wd Sdng,None,Detchd,BrkTil,4,7,8,3,5,7,3,3,5,2,1.0,1098.0,216.0,567.0,1930,1995,1,5,148500
160,RM,Edwards,2Story,VinylSd,VinylSd,Stone,Detchd,PConc,4,7,5,4,5,2,5,4,1,2,2.0,1708.0,380.0,976.0,2004,2004,2,7,130000
20,RL,NridgHt,1Story,MetalSd,MetalSd,Stone,Attchd,PConc,3,9,5,5,6,2,5,5,5,4,3.0,1802.0,843.0,1802.0,2006,2006,2,7,372000
120,RL,Blmngtn,1Story,VinylSd,VinylSd,BrkFace,Attchd,PConc,4,7,5,4,5,7,5,4,5,4,2.0,1506.0,440.0,1506.0,2005,2005,2,6,213490
20,RL,Edwards,1Story,VinylSd,VinylSd,Stone,Attchd,PConc,2,7,5,4,5,7,5,4,4,3,2.0,1508.0,572.0,1508.0,2009,2010,1,5,308030
20,RL,Mitchel,1Story,MetalSd,MetalSd,BrkFace,Attchd,PConc,2,7,5,4,6,7,5,4,1,4,3.0,2032.0,786.0,2032.0,1996,1997,3,7,300000
20,RL,NAmes,1Story,BrkFace,BrkFace,None,BuiltIn,CBlock,4,6,6,3,4,6,5,3,3,4,2.0,1194.0,539.0,1194.0,1959,1959,1,6,159500
160,RM,Edwards,2Story,VinylSd,VinylSd,Stone,Detchd,PConc,4,7,5,4,5,2,5,4,1,2,2.0,1709.0,380.0,970.0,2004,2004,2,7,137500
20,RL,Somerst,1Story,VinylSd,VinylSd,BrkFace,Attchd,PConc,4,7,5,4,5,2,5,4,1,3,3.0,1616.0,834.0,1616.0,2005,2005,2,7,232000
30,RM,IDOTRR,1Story,Stucco,Wd Shng,None,Detchd,BrkTil,3,6,6,4,4,2,3,3,1,2,2.0,768.0,440.0,768.0,1930,1950,1,4,93850
30,RL,Sawyer,1Story,BrkFace,Wd Sdng,Stone,Detchd,BrkTil,4,5,5,3,4,2,2,2,5,2,1.0,872.0,322.0,872.0,1924,1950,1,5,105000
30,RM,BrkSide,1Story,MetalSd,MetalSd,None,Detchd,BrkTil,3,4,6,3,4,2,2,2,1,2,1.0,520.0,240.0,520.0,1927,1950,1,4,68500
90,RL,NAmes,2Story,MetalSd,MetalSd,BrkFace,Detchd,CBlock,4,5,5,3,4,4,3,3,1,2,2.0,2274.0,480.0,1105.0,1960,1960,2,12,154300
50,RM,IDOTRR,1.5Fin,VinylSd,VinylSd,None,None,BrkTil,4,5,7,4,4,2,5,3,1,1,0.0,1601.0,465.10199881023215,936.0,1925,2003,2,6,129850
70,RM,OldTown,2Story,MetalSd,MetalSd,None,Detchd,BrkTil,4,5,7,3,4,5,5,3,1,2,2.0,1232.0,480.0,616.0,1910,1950,1,6,114000
20,RL,StoneBr,1Story,VinylSd,VinylSd,Stone,Attchd,PConc,3,9,5,5,6,7,5,5,5,4,3.0,2234.0,473.4268292682927,1164.2931707317073,2008,2009,2,9,501837
50,RM,OldTown,1.5Fin,Wd Sdng,Wd Sdng,None,Detchd,BrkTil,3,5,8,3,4,2,4,3,5,2,3.0,1416.0,720.0,876.0,1915,1950,1,7,153900
20,RL,NAmes,1Story,VinylSd,VinylSd,None,Detchd,CBlock,4,4,7,3,4,6,4,3,1,2,2.0,864.0,576.0,864.0,1971,2006,1,5,130000
120,RM,Mitchel,1Story,VinylSd,VinylSd,BrkFace,Attchd,PConc,4,6,5,3,6,7,5,3,1,3,2.0,1189.0,392.0,1189.0,1997,1997,2,4,160500
120,RL,NridgHt,1Story,MetalSd,MetalSd,BrkFace,Attchd,PConc,4,9,5,5,6,7,5,4,5,3,2.0,1666.0,575.0,1666.0,2006,2006,2,6,310090
20,RL,SawyerW,1Story,VinylSd,VinylSd,None,Attchd,PConc,4,7,5,4,5,7,5,4,1,3,2.0,1200.0,555.0,1200.0,2003,2003,2,5,184900
20,RL,NAmes,1Story,Wd Sdng,Wd Sdng,None,Attchd,CBlock,4,5,7,3,5,4,3,3,1,2,1.0,928.0,252.0,928.0,1956,2000,1,4,132000
20,RL,NWAmes,1Story,HdBoard,HdBoard,BrkFace,Attchd,CBlock,4,5,5,3,5,6,3,3,3,3,2.0,1336.0,502.0,1336.0,1969,1969,2,6,163000
160,FV,Somerst,2Story,MetalSd,MetalSd,BrkFace,Detchd,PConc,4,7,5,4,5,7,5,4,1,3,2.0,1200.0,480.0,600.0,2004,2004,2,4,155000
80,RL,NWAmes,SLvl,MetalSd,MetalSd,None,Attchd,CBlock,3,6,6,3,4,7,4,3,1,3,2.0,1427.0,516.0,1427.0,1969,1969,2,7,183000
60,RL,CollgCr,2Story,VinylSd,VinylSd,BrkFace,Attchd,PConc,1,7,5,4,5,7,5,4,4,3,2.0,1992.0,608.0,1212.0,1996,2002,2,7,211000
60,RL,SawyerW,2Story,VinylSd,VinylSd,None,Attchd,PConc,4,7,5,4,5,3,5,4,1,3,2.0,1540.0,495.0,754.0,1994,1994,2,6,184000
90,RL,SawyerW,1Story,HdBoard,HdBoard,None,Attchd,Slab,4,5,5,3,1,1,3,3,1,2,2.0,1535.0,400.0,1535.0,1979,1979,2,8,118858
80,RL,NAmes,SLvl,Wd Sdng,HdBoard,BrkFace,Attchd,PConc,3,5,7,3,4,7,3,3,5,3,2.0,1152.0,484.0,1152.0,1964,1964,1,6,180500
120,FV,Somerst,1Story,VinylSd,VinylSd,Stone,Attchd,PConc,3,8,5,4,5,7,5,4,1,4,2.0,1151.0,484.0,1151.0,2006,2007,2,5,166000
80,RL,Sawyer,SLvl,Wd Sdng,Wd Sdng,BrkFace,Attchd,CBlock,4,6,5,3,4,5,5,3,4,3,2.0,1138.0,480.0,1138.0,1960,1960,1,6,148000
20,RL,NAmes,1Story,Wd Sdng,Wd Sdng,None,Detchd,CBlock,3,5,5,3,4,4,4,4,5,2,2.0,1074.0,396.0,1074.0,1956,1956,1,6,124000
120,RL,NridgHt,1Story,MetalSd,MetalSd,BrkFace,Attchd,PConc,4,9,5,5,6,7,5,5,5,4,2.0,1561.0,556.0,1561.0,2005,2005,2,6,277500
60,RL,NoRidge,2Story,VinylSd,VinylSd,BrkFace,Attchd,PConc,3,8,5,4,5,6,5,4,6,3,3.0,1499.2985365853658,725.0,1358.0,1995,1995,2,9,350000
20,RL,StoneBr,1Story,VinylSd,VinylSd,BrkFace,Attchd,PConc,3,9,5,5,6,7,5,5,5,4,3.0,1884.0,670.0,1884.0,2004,2004,2,7,387000
30,RL,Edwards,1Story,Wd Sdng,Wd Sdng,None,None,BrkTil,3,4,7,3,4,6,5,3,1,1,0.0,605.0,465.10199881023215,605.0,1920,2002,1,5,86000
20,RL,Veenker,1Story,VinylSd,VinylSd,None,Attchd,CBlock,4,8,9,5,5,7,5,5,5,3,2.0,1671.0,550.0,1671.0,1976,2007,3,6,290000
30,C (all),IDOTRR,1Story,AsbShng,AsbShng,None,None,CBlock,4,3,3,3,3,2,3,3,1,1,0.0,797.0,465.10199881023215,797.0,1900,1950,1,5,44000
60,RL,Mitchel,2Story,VinylSd,VinylSd,None,BuiltIn,PConc,3,6,5,3,6,6,5,4,4,4,2.0,1961.0,560.0,804.0,2001,2002,2,7,215000
190,RL,NWAmes,1Story,Plywood,Plywood,BrkFace,Attchd,CBlock,3,5,6,3,5,7,5,3,1,4,2.0,1193.0,501.0,1193.0,1972,1972,2,6,146500
160,FV,Somerst,2Story,MetalSd,MetalSd,None,Detchd,PConc,4,7,5,4,5,7,5,4,1,2,2.0,1382.0,490.0,673.0,2000,2000,2,6,165000
50,RM,OldTown,1.5Fin,Stucco,Stucco,None,Detchd,BrkTil,4,6,7,3,4,4,3,4,5,2,1.0,2526.0,216.0,1664.0,1916,1950,2,10,136000
20,RL,NAmes,1Story,Wd Sdng,Wd Sdng,Stone,Attchd,CBlock,3,6,6,3,5,6,5,5,5,2,2.0,1390.0,550.0,1390.0,1957,1957,1,4,252000
160,RL,NridgHt,2Story,VinylSd,Wd Shng,Stone,BuiltIn,PConc,4,7,5,4,5,2,5,4,1,3,2.0,1626.0,474.0,764.0,2003,2003,2,6,175500
70,RM,OldTown,2Story,Wd Sdng,Wd Sdng,None,Detchd,BrkTil,4,5,6,3,4,6,3,3,5,2,2.0,1558.0,400.0,868.0,1939,1950,1,7,150000
20,RL,NAmes,1Story,Wd Sdng,Wd Sdng,None,Attchd,CBlock,3,5,5,3,4,2,3,3,4,3,1.0,1422.0,286.0,1422.0,1960,1978,1,6,139900
50,RM,BrkSide,1.5Fin,MetalSd,MetalSd,None,Detchd,PConc,4,5,7,3,4,2,3,3,5,2,2.0,1573.0,360.0,1128.0,1930,1992,2,8,162900
20,RL,NAmes,1Story,Wd Sdng,Wd Sdng,BrkFace,Attchd,CBlock,3,6,6,3,4,2,3,3,1,2,2.0,1116.0,440.0,1116.0,1962,1962,1,5,160000
20,RL,Sawyer,1Story,Wd Sdng,Wd Sdng,None,None,Slab,4,2,2,3,1,1,2,2,1,1,0.0,660.0,465.10199881023215,660.0,1947,1950,1,5,63900
20,RL,NWAmes,1Story,HdBoard,HdBoard,BrkFace,Attchd,PConc,4,6,5,3,4,6,4,3,4,4,2.0,1707.0,479.0,1707.0,1978,1998,2,7,184000
20,RL,Edwards,1Story,HdBoard,Plywood,BrkFace,Attchd,CBlock,4,5,4,3,4,5,3,2,5,4,2.0,1466.0,528.0,1466.0,1959,1959,1,6,149900
120,FV,Somerst,1Story,MetalSd,MetalSd,BrkFace,Attchd,PConc,3,9,5,4,5,7,5,5,4,4,2.0,1638.0,495.0,1638.0,2000,2000,2,5,300000
190,RL,ClearCr,1Story,Plywood,Plywood,Stone,Basment,CBlock,4,5,3,3,4,4,4,3,4,2,2.0,1721.0,626.0,1721.0,1960,1960,2,7,145000
60,RL,CollgCr,2Story,VinylSd,VinylSd,None,Attchd,PConc,3,6,5,3,5,7,5,4,1,3,2.0,1764.0,470.0,928.0,1997,1997,2,7,231500
30,RL,Edwards,1Story,WdShing,Wd Shng,None,None,CBlock,4,5,6,3,4,5,5,3,5,1,0.0,996.0,465.10199881023215,996.0,1940,1969,1,6,108000
20,RL,NAmes,1Story,BrkFace,BrkFace,None,Attchd,CBlock,4,5,5,3,4,4,3,3,1,3,1.0,1202.0,304.0,1202.0,1956,1956,1,6,120000
20,RL,Sawyer,1Story,Wd Sdng,Wd Sdng,BrkFace,Detchd,CBlock,3,5,5,3,4,4,3,3,1,2,2.0,988.0,572.0,988.0,1961,1961,1,5,128500
30,RM,OldTown,1Story,WdShing,Wd Shng,None,Detchd,CBlock,4,5,6,3,4,2,4,3,5,2,2.0,1028.0,360.0,1028.0,1927,1950,1,5,115000
50,RM,OldTown,1.5Fin,AsbShng,AsbShng,None,Detchd,CBlock,4,5,7,3,4,3,3,3,1,2,1.0,1284.0,240.0,720.0,1947,1950,1,5,110000
60,RL,Veenker,2Story,Wd Sdng,Wd Sdng,BrkFace,Attchd,CBlock,3,9,3,4,5,7,3,4,5,3,3.0,1499.2985365853658,864.0,1599.0,1977,1977,2,9,150000
60,RL,Gilbert,2Story,VinylSd,VinylSd,None,Attchd,PConc,3,8,5,4,6,2,5,4,5,4,2.0,1414.0,403.0,707.0,2004,2004,2,6,178000
70,RL,Crawfor,2Story,Wd Sdng,Wd Sdng,None,2Types,BrkTil,3,7,7,3,4,2,5,4,5,2,3.0,1609.0,579.0,959.0,1932,1990,1,8,199500
60,RL,Gilbert,2Story,VinylSd,VinylSd,None,Attchd,PConc,3,6,5,3,4,7,5,3,4,4,2.0,1525.0,400.0,813.0,1997,1998,2,6,183500
80,RM,IDOTRR,SLvl,HdBoard,Plywood,None,Attchd,CBlock,4,5,5,2,5,4,5,3,2,2,1.0,1656.0,288.0,1092.0,1967,1967,1,7,126000
120,RL,NPkVill,1Story,Plywood,Brk Cmn,None,Attchd,CBlock,4,7,6,3,5,6,2,3,1,2,2.0,1055.0,440.0,1055.0,1977,1977,2,4,148500
60,RL,OldTown,2Story,VinylSd,VinylSd,None,Detchd,BrkTil,4,5,7,3,4,2,5,4,1,2,2.0,1352.0,720.0,676.0,1939,2006,2,7,149000
160,RL,NPkVill,2Story,Plywood,Brk Cmn,None,Attchd,CBlock,4,6,5,3,5,6,3,3,4,2,2.0,1456.0,440.0,855.0,1977,1977,2,6,137900
120,RL,Veenker,1Story,BrkFace,BrkFace,None,Attchd,PConc,3,8,5,4,5,7,5,4,5,4,2.0,1719.0,473.0,1719.0,1993,1993,1,6,324000
30,RL,Edwards,1Story,Stucco,Stucco,None,None,CBlock,4,5,6,3,4,4,3,3,1,1,0.0,864.0,465.10199881023215,864.0,1925,1950,1,5,98000
160,RM,BrDale,2Story,HdBoard,HdBoard,BrkFace,Detchd,CBlock,4,6,5,3,4,3,3,3,1,2,1.0,987.0,264.0,483.0,1973,1973,1,5,103400
50,RL,Sawyer,1.5Fin,VinylSd,VinylSd,None,None,CBlock,4,5,8,3,4,2,4,3,1,1,0.0,1020.0,465.10199881023215,780.0,1875,1996,1,6,94000
120,RL,NridgHt,1Story,VinylSd,VinylSd,Stone,Attchd,PConc,4,8,5,4,5,7,5,4,5,3,2.0,1554.0,627.0,1554.0,2006,2006,2,6,209500
60,RL,StoneBr,2Story,CemntBd,CmentBd,BrkFace,BuiltIn,PConc,3,10,5,5,6,2,5,5,6,4,3.0,1499.2985365853658,758.0,1528.0,2006,2006,3,10,545224
70,RM,OldTown,2Story,Wd Sdng,Wd Sdng,None,None,PConc,4,6,8,4,4,2,5,4,1,1,0.0,1560.0,465.10199881023215,780.0,1912,2009,1,7,159900
20,RL,Gilbert,1Story,VinylSd,VinylSd,None,Detchd,CBlock,4,4,5,3,4,3,5,3,1,2,2.0,864.0,400.0,864.0,1951,1951,1,4,141000
60,RL,Gilbert,2Story,VinylSd,VinylSd,None,Attchd,PConc,3,6,5,3,5,6,5,3,4,4,2.0,1889.0,431.0,1008.0,2000,2000,2,9,215000
20,RL,Sawyer,1Story,HdBoard,HdBoard,None,Detchd,CBlock,3,5,8,3,4,6,5,3,1,2,1.0,1040.0,260.0,1040.0,1962,2010,1,6,127000
20,RL,Edwards,1Story,WdShing,Wd Shng,None,Attchd,CBlock,4,5,7,3,4,5,3,3,1,4,1.0,1172.0,366.0,1172.0,1954,1998,1,5,128000
20,FV,Somerst,1Story,CemntBd,CmentBd,None,Attchd,PConc,3,8,5,4,6,7,5,4,5,3,3.0,1418.0,852.0,1418.0,2010,2010,1,6,267916
50,RM,BrkSide,1.5Fin,Wd Sdng,Wd Sdng,None,Detchd,BrkTil,4,6,6,3,4,3,3,3,5,2,1.0,1367.0,560.0,959.0,1931,1950,1,6,127500
85,RL,Edwards,SFoyer,HdBoard,HdBoard,BrkFace,BuiltIn,Slab,4,7,5,4,1,1,5,4,6,3,2.0,1922.0,672.0,495.0,2003,2003,3,7,198500
20,RL,NWAmes,1Story,MetalSd,MetalSd,BrkFace,Attchd,CBlock,3,6,6,3,5,7,3,4,4,4,2.0,1422.0,576.0,1422.0,1981,1981,2,7,175500
60,RL,CollgCr,2Story,VinylSd,VinylSd,BrkFace,Attchd,PConc,4,7,5,4,5,7,5,4,4,4,2.0,1842.0,486.0,985.0,2000,2000,2,7,217500
